,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NH4_RES,FIRE_SON_LOSS,ECO_HVST_N,NET_N_MIN,FIRE_NOX_EMIT,N2_FLUX
20,21012001.0,22.37245,1124.365,0.0,0.0,0.1049585,2.459799,0.0,0.0001169225,0.0,-0.04199134,-0.002559114,0.0003011303,0.0004206798,33.40085,0.0321934,0.06330123,0.05478454,0.04698616,0.04175444,0.02920589,0.02058071,0.04868298,0.03619682,0.02740519,0.02212683,0.01782382,0.01056519,0.003362108,0.0,0.0591236,3.823391,4.304327,3.292093,2.199424,1.493741,0.9295625,1.040738,0.6691508,0.4117593,0.3084635,0.2818585,0.2738774,0.3070472,0.0,24.24833,0.0,0.0,1.370465,0.0,-0.006055096
21,22012001.0,22.37301,1124.312,0.0,0.0,0.1062661,2.497419,0.0,0.0001176351,0.0,-0.04298361,-0.002643649,0.000315264,0.0004253422,33.48769,0.03303747,0.06312862,0.05462695,0.04715423,0.04209612,0.02969485,0.02138753,0.04918517,0.03640692,0.02751257,0.02227994,0.01802093,0.01079653,0.003453035,0.0,0.04216793,3.879267,4.342472,3.335348,2.264584,1.535391,0.912563,1.072846,0.6840186,0.4184583,0.3110328,0.2834517,0.2751356,0.3073241,0.0,25.27094,0.0,0.0,1.408561,0.0,-0.006214573
22,23012001.0,22.37183,1124.261,0.0,0.0,0.107208,2.536646,0.0,0.0001180663,0.0,-0.04400154,-0.002691417,0.0003289817,0.0004322997,33.61371,0.03402411,0.06367669,0.05445151,0.04702517,0.04215551,0.02997461,0.02185295,0.04973399,0.0366248,0.02761358,0.02241547,0.01819878,0.01101425,0.003539547,0.0,0.03544665,3.930094,4.415609,3.395074,2.348165,1.577602,0.8657417,1.10907,0.6992888,0.4250119,0.3135622,0.2850463,0.2766198,0.3073391,0.0,25.71964,0.0,0.0,1.447853,0.0,-0.00636934
23,24012001.0,22.37782,1124.209,0.0,0.0,0.1088671,2.568291,0.0,0.0001182462,0.0,-0.04503686,-0.002724623,0.0003425791,0.000436338,33.66661,0.03934921,0.06568314,0.05632406,0.04835165,0.04315399,0.03054951,0.02199335,0.0501866,0.03684138,0.02770972,0.02253596,0.01835934,0.01121888,0.003621722,0.0,0.05413749,3.838926,4.468456,3.453618,2.430437,1.61039,0.8494422,1.136762,0.7150652,0.4314505,0.3160508,0.2866296,0.2780372,0.3073541,0.0,27.0763,0.0,0.0,1.480208,0.0,-0.006467727
24,25012001.0,22.38427,1124.159,0.0,0.0,0.1106497,2.598126,0.0,0.0001183705,0.0,-0.04607596,-0.002808267,0.0003554339,0.0004388934,33.68904,0.03336474,0.06512344,0.05729758,0.04937609,0.04406364,0.0312217,0.02223525,0.05065523,0.03705714,0.02780188,0.02264345,0.01850464,0.01141134,0.003700958,0.0,0.05949743,3.795501,4.495072,3.497804,2.496994,1.635951,0.8554294,1.158732,0.7304321,0.4377959,0.3184998,0.2882191,0.2794917,0.3073636,0.0,29.25386,0.0,0.0,1.510903,0.0,-0.006526098
25,26012001.0,22.38938,1124.111,0.0,0.0,0.1120204,2.627161,0.0,0.0001184003,0.0,-0.04712146,-0.002910178,0.0003686151,0.000441412,33.71581,0.03237318,0.06565215,0.05786731,0.05000365,0.04466203,0.03170855,0.02242936,0.05112623,0.03727901,0.02789156,0.02273975,0.01863611,0.01159261,0.003777034,0.0,0.06016389,3.768648,4.520691,3.535784,2.555519,1.659228,0.8684209,1.178429,0.7452306,0.444054,0.3209102,0.2897844,0.2809597,0.307379,0.0,30.58585,0.0,0.0,1.540398,0.0,-0.006598024
26,27012001.0,22.39445,1124.065,0.0,0.0,0.1132968,2.655493,0.0,0.000118559,0.0,-0.0481578,-0.003017681,0.0003824265,0.000443912,33.74163,0.0311607,0.06570394,0.05816128,0.05042173,0.04509497,0.03208039,0.02259135,0.05157587,0.03750384,0.02798009,0.02282652,0.01875558,0.01176296,0.003849853,0.0,0.05784858,3.737729,4.554846,3.571271,2.609333,1.681433,0.8825025,1.197335,0.7594658,0.4502326,0.3232894,0.2913789,0.2823635,0.3073944,0.0,31.92529,0.0,0.0,1.569059,0.0,-0.006668789
27,28012001.0,22.39773,1124.02,0.0,0.0,0.1144139,2.685302,0.0,0.0001187271,0.0,-0.04919331,-0.003129797,0.0003967388,0.0004467644,33.76673,0.0298099,0.06495243,0.05791295,0.05043361,0.04522962,0.03227782,0.02269006,0.05199599,0.03772601,0.02806786,0.02290542,0.01886496,0.01192251,0.003919524,0.0,0.05334126,3.743525,4.598815,3.60869,2.662396,1.703614,0.8951463,1.216367,0.7730051,0.4562984,0.3256563,0.2930593,0.2836311,0.3074066,0.0,33.25568,0.0,0.0,1.599131,0.0,-0.006744777
28,29012001.0,22.39856,1123.974,0.0,0.0,0.1151555,2.717654,0.0,0.0001187647,0.0,-0.05023811,-0.003204149,0.0004096524,0.0004509835,33.80291,0.02815908,0.06270874,0.05657121,0.04968295,0.0447955,0.03212655,0.02261617,0.05234934,0.03793955,0.02815488,0.0229774,0.0189645,0.01207301,0.003986134,0.0,0.04699859,3.788022,4.656999,3.655186,2.718786,1.726377,0.9093145,1.235206,0.7859668,0.4622463,0.3279895,0.2946859,0.2849034,0.3074229,0.0,34.42432,0.0,0.0,1.631375,0.0,-0.006852048
29,30012001.0,22.39489,1123.927,0.0,0.0,0.1153327,2.755309,0.0,0.000118766,0.0,-0.05128552,-0.003219442,0.0004221801,0.0004567227,33.859,0.0276909,0.06125471,0.05541224,0.04889575,0.04424283,0.03178357,0.02240914,0.05259674,0.03813455,0.02824048,0.02304341,0.01905539,0.01221489,0.004049986,0.0,0.03784248,3.933855,4.728518,3.709043,2.778266,1.75013,0.9263993,1.253989,0.79843,0.4680738,0.3302902,0.2962875,0.2861713,0.3074384,0.0,34.54505,0.0,0.0,1.668311,0.0,-0.006952858
30,31012001.0,22.38836,1123.88,0.0,0.0,0.1150897,2.79672,0.0,0.000118766,0.0,-0.05233302,-0.003230369,0.0004342876,0.0004636798,33.92781,0.02774778,0.0603193,0.0543921,0.04815861,0.04366079,0.0314038,0.02217152,0.05275073,0.03830409,0.0283235,0.02310416,0.01913845,0.01234883,0.004111203,0.0,0.03580924,4.151839,4.805717,3.766731,2.833694,1.776248,0.9454181,1.273093,0.810559,0.4737897,0.3325579,0.2978486,0.2874523,0.3074522,0.0,33.85858,0.0,0.0,1.708543,0.0,-0.007025383
31,1022001.0,22.38235,1123.833,0.0,0.0,0.1146735,2.838413,0.0,0.000118766,0.0,-0.05338051,-0.003240095,0.0004457724,0.0004712439,33.99763,0.02796007,0.06039632,0.05394777,0.04773514,0.04329476,0.03109701,0.02195305,0.05283203,0.03844661,0.02840285,0.02316017,0.01921438,0.01247543,0.004169934,0.0,0.03823635,4.349891,4.896126,3.827616,2.89561,1.802882,0.9645988,1.292535,0.8224401,0.4794027,0.3347925,0.2993652,0.2887511,0.3074687,0.0,32.67889,0.0,0.0,1.748812,0.0,-0.007089442
32,2022001.0,22.37786,1123.786,0.0,0.0,0.1144113,2.877948,0.0,0.000118766,0.0,-0.0544165,-0.003249791,0.0004567855,0.0004780621,34.05696,0.02784295,0.06097015,0.05408046,0.04774344,0.04329484,0.03100832,0.02183751,0.05288589,0.03856529,0.02847771,0.02321189,0.01928419,0.01259223,0.004228639,0.0,0.04206514,4.484725,4.989575,3.890735,2.963712,1.83014,0.9835259,1.312104,0.8341193,0.4849213,0.3370017,0.3008774,0.2887125,0.3087771,0.0,31.62284,0.0,0.0,1.787135,0.0,-0.007154823
33,3022001.0,22.37374,1123.74,0.0,0.0,0.1139647,2.915813,0.0,0.0001190287,0.0,-0.0554038,-0.003256638,0.0004678026,0.0004848413,34.12835,0.02817205,0.06138574,0.05407454,0.04771509,0.04328767,0.03100401,0.02192749,0.05296903,0.03866874,0.02854801,0.02325999,0.01934911,0.01270278,0.004283467,0.0,0.04259636,4.572646,5.092314,3.958776,3.028833,1.859984,0.98739,1.334332,0.845674,0.4903521,0.3392098,0.3024558,0.2895223,0.3090803,0.0,30.14253,0.0,0.0,1.823734,0.0,-0.007234341
34,4022001.0,22.36888,1123.695,0.0,0.0,0.1130067,2.9544,0.0,0.0001191682,0.0,-0.05638824,-0.003258813,0.0004787635,0.0004935542,34.22681,0.02884057,0.06189313,0.05380055,0.0473282,0.04299387,0.03085498,0.02192327,0.0530511,0.0387651,0.0286144,0.02330547,0.01940814,0.01280574,0.004337646,0.0,0.04620825,4.57503,5.264761,4.04335,3.100836,1.89103,0.9816803,1.357513,0.8576146,0.4957116,0.3414648,0.3039213,0.2896296,0.3100924,0.0,27.73223,0.0,0.0,1.860476,0.0,-0.007316307
35,5022001.0,22.36809,1123.652,0.0,0.0,0.1119239,2.987076,0.0,0.000119228,0.0,-0.05735689,-0.00325767,0.0004887001,0.0005029637,34.34352,0.02908549,0.06352307,0.05400334,0.04701105,0.04266548,0.03065567,0.02180164,0.05308237,0.03885062,0.02867734,0.02334774,0.01946222,0.01290288,0.004389896,0.0,0.04599289,4.238625,5.552172,4.167758,3.179835,1.91934,0.9855508,1.378408,0.8696985,0.5010117,0.3436775,0.3053135,0.2897241,0.3111351,0.0,25.00535,0.0,0.0,1.891165,0.0,-0.007393284
36,6022001.0,22.36426,1123.609,0.0,0.0,0.110943,3.022069,0.0,0.0001192292,0.0,-0.05832811,-0.003255453,0.0004974372,0.0005134773,34.46639,0.0304818,0.06520773,0.05610485,0.04742908,0.04268287,0.0304609,0.02162795,0.05307883,0.03892354,0.02873683,0.02338711,0.01951202,0.0129955,0.004439536,0.0,0.04520036,3.622772,5.858897,4.499381,3.31569,1.949942,0.9976932,1.397677,0.881659,0.5062571,0.3458485,0.3066773,0.2906053,0.3114016,0.0,22.19626,0.0,0.0,1.924293,0.0,-0.007466797
37,7022001.0,22.35925,1123.567,0.0,0.0,0.1104059,3.058006,0.0,0.0001192294,0.0,-0.05927094,-0.003254762,0.0005061877,0.0005216131,34.55595,0.03075148,0.0670695,0.0578216,0.04895777,0.04354356,0.03060842,0.02156267,0.05307481,0.0389856,0.02879292,0.02342378,0.01955758,0.01308013,0.004490142,0.0,0.0516701,3.39874,5.732392,4.85569,3.58159,1.993255,1.014182,1.416151,0.8933529,0.5114463,0.3479794,0.3079698,0.2900012,0.3131603,0.0,20.0826,0.0,0.0,1.958839,0.0,-0.007541991
38,8022001.0,22.35254,1123.526,0.0,0.0,0.1099984,3.094303,0.0,0.0001192294,0.0,-0.06022789,-0.003257268,0.0005148186,0.0005286767,34.64105,0.02974562,0.06713564,0.05830191,0.04987592,0.04439615,0.03089441,0.02159844,0.05311227,0.03904508,0.02884617,0.02345798,0.01959976,0.0131646,0.004534871,0.0,0.04887024,3.390358,5.660671,4.999685,3.792402,2.046437,1.033819,1.434364,0.9047327,0.5165715,0.3500716,0.3092659,0.2925968,0.3117304,0.0,18.55903,0.0,0.0,1.993848,0.0,-0.00762917
39,9022001.0,22.35085,1123.485,0.0,0.0,0.1098118,3.125503,0.0,0.0001193855,0.0,-0.06114728,-0.003262902,0.0005232721,0.0005357286,34.7196,0.02955915,0.06768644,0.05898194,0.05065037,0.04504898,0.03124155,0.02168424,0.05316776,0.03910584,0.02889725,0.02349004,0.01963849,0.01323632,0.004586064,0.0,0.06675471,3.349942,5.639154,5.067132,3.906528,2.10088,1.055003,1.452769,0.9158314,0.5216269,0.3521319,0.3105177,0.2916152,0.3138668,0.0,17.42781,0.0,0.0,2.023894,0.0,-0.007729273
40,10022001.0,22.36247,1123.445,0.0,0.0,0.1102856,3.142318,0.0,0.0001199956,0.0,-0.06199094,-0.003336547,0.0005323565,0.0005420092,34.7812,0.02848559,0.06734099,0.05942686,0.05135906,0.04572297,0.03178948,0.02197364,0.05328393,0.03916983,0.02894688,0.02352073,0.01967496,0.01330464,0.004633334,0.0,0.0791261,3.246543,5.51599,5.06479,3.967593,2.151537,1.055791,1.474324,0.9268945,0.5266088,0.3542018,0.3118365,0.290767,0.3156978,0.0,17.75568,0.0,0.0,2.040333,0.0,-0.00786179
41,11022001.0,22.37175,1123.404,0.0,0.0,0.1113957,3.161154,0.0,0.0001205332,0.0,-0.06283829,-0.0035175,0.0005429339,0.000547954,34.80569,0.02712254,0.06679274,0.05939473,0.05166909,0.04613657,0.03233741,0.0222707,0.0534615,0.03924346,0.02899642,0.02354959,0.01970867,0.0133742,0.004674312,0.0,0.06556349,3.277724,5.418314,5.04398,3.995617,2.191417,1.042498,1.496915,0.9383841,0.5315765,0.3562163,0.3131086,0.2921278,0.3153454,0.0,19.60694,0.0,0.0,2.059497,0.0,-0.007950321
42,12022001.0,22.37659,1123.363,0.0,0.0,0.1126546,3.184587,0.0,0.000120829,0.0,-0.06369056,-0.003695854,0.0005549367,0.0005540823,34.81191,0.02603253,0.0657951,0.05883551,0.05152568,0.04626649,0.03266342,0.02245988,0.05364134,0.03932666,0.02904627,0.02357712,0.01973959,0.01343594,0.0047181,0.0,0.05926336,3.378767,5.386806,5.028568,4.022758,2.217252,1.040862,1.516414,0.9501492,0.5364931,0.3581961,0.3143101,0.2914427,0.317068,0.0,22.06043,0.0,0.0,2.08347,0.0,-0.008023165
43,13022001.0,22.37858,1123.323,0.0,0.0,0.1135222,3.210887,0.0,0.0001209647,0.0,-0.06457337,-0.003799305,0.0005667058,0.0005615624,34.83238,0.02578853,0.06490587,0.05826423,0.05130358,0.04623564,0.03259101,0.02246507,0.05377185,0.03941226,0.02909642,0.02360355,0.01976867,0.01350356,0.00475142,0.0,0.05282561,3.486357,5.396824,5.038649,4.044492,2.237306,1.050389,1.533604,0.9617392,0.5413594,0.3601424,0.3155389,0.2960227,0.3135159,0.0,23.86297,0.0,0.0,2.109803,0.0,-0.008134527
44,14022001.0,22.37871,1123.281,0.0,0.0,0.1140879,3.239922,0.0,0.0001210206,0.0,-0.06547055,-0.003821458,0.0005777305,0.0005692793,34.8548,0.02608488,0.0654578,0.05858994,0.05158835,0.04652895,0.03252758,0.02242072,0.05383726,0.03949033,0.02914663,0.02362978,0.01979548,0.01355202,0.004799536,0.0,0.0548246,3.636616,5.421195,5.051793,4.073407,2.255819,1.062915,1.550303,0.973087,0.5461823,0.3621227,0.3167217,0.2945869,0.3159722,0.0,24.73594,0.0,0.0,2.138477,0.0,-0.008251652
