,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NH4_RES,FIRE_SON_LOSS,ECO_HVST_N,FIRE_NOX_EMIT,N2_FLUX
20,21012001.0,22.37324,1124.364,0.0,0.0,0.1049364,2.459727,0.0,0.0001532836,0.0,-0.04195116,-0.002548622,0.0003000987,0.0004205708,33.39107,0.03223578,0.06330855,0.0547896,0.04698921,0.04175865,0.02921245,0.0206018,0.04868785,0.03619782,0.02740527,0.02212684,0.01782387,0.01056526,0.003362113,0.0,0.05919061,3.824655,4.304389,3.291235,2.199529,1.493954,0.9273412,1.040982,0.6691735,0.4117746,0.3084674,0.2818592,0.2738774,0.3070471,0.0,24.1776,0.0,0.0,0.0,-0.005957313
21,22012001.0,22.37383,1124.311,0.0,0.0,0.1062477,2.497333,0.0,0.0001541248,0.0,-0.04293397,-0.002633047,0.0003142208,0.0004252365,33.47808,0.03307611,0.06313819,0.05463282,0.04715887,0.04210379,0.02970653,0.0214146,0.04919436,0.03640809,0.02751264,0.02227993,0.01802096,0.01079659,0.00345304,0.0,0.0422482,3.88047,4.342563,3.334621,2.265012,1.535656,0.9087752,1.073403,0.6840621,0.4184742,0.3110372,0.2834524,0.2751354,0.3073243,0.0,25.20045,0.0,0.0,0.0,-0.006117064
22,23012001.0,22.37269,1124.26,0.0,0.0,0.1072,2.536552,0.0,0.0001547295,0.0,-0.04394038,-0.002680802,0.0003279276,0.0004321857,33.60394,0.03410234,0.06368952,0.05445953,0.04703268,0.04216922,0.02999326,0.02188479,0.04974651,0.03662663,0.02761365,0.02241548,0.01819881,0.01101429,0.003539551,0.0,0.03548796,3.931631,4.415792,3.394501,2.349257,1.577809,0.8610647,1.109649,0.6994066,0.425029,0.3135669,0.285047,0.27662,0.3073389,0.0,25.66173,0.0,0.0,0.0,-0.006271846
23,24012001.0,22.37874,1124.208,0.0,0.0,0.1088598,2.568146,0.0,0.000155087,0.0,-0.04496393,-0.002714116,0.0003415161,0.0004362274,33.65684,0.0393813,0.065699,0.05633438,0.04835912,0.04316944,0.03057341,0.0220321,0.05020182,0.03684378,0.02770985,0.02253596,0.01835937,0.01121893,0.003621724,0.0,0.05422766,3.841026,4.468485,3.45258,2.431251,1.61049,0.8443489,1.137313,0.7152423,0.4314722,0.3160558,0.2866304,0.2780373,0.307354,0.0,27.01368,0.0,0.0,0.0,-0.006370206
24,25012001.0,22.38521,1124.158,0.0,0.0,0.1106444,2.597959,0.0,0.0001554225,0.0,-0.04598891,-0.002797935,0.0003543642,0.0004387862,33.67939,0.03340949,0.06513783,0.0573085,0.04938707,0.04408348,0.03125267,0.02227677,0.05067363,0.03706026,0.02780206,0.02264345,0.01850466,0.01141138,0.003700959,0.0,0.05956823,3.79738,4.495171,3.497167,2.498164,1.636059,0.8492882,1.159353,0.7306713,0.4378235,0.3185054,0.2882198,0.279492,0.3073635,0.0,29.18767,0.0,0.0,0.0,-0.006428609
25,26012001.0,22.39036,1124.11,0.0,0.0,0.1120166,2.626956,0.0,0.0001557098,0.0,-0.0470169,-0.002900131,0.0003675368,0.0004413088,33.70632,0.03242469,0.06566656,0.05787843,0.05001787,0.04468689,0.03174454,0.02247306,0.05114594,0.03728357,0.02789189,0.02273975,0.01863612,0.01159265,0.003777034,0.0,0.06024355,3.770323,4.520777,3.535407,2.556958,1.659222,0.8614879,1.178932,0.7456308,0.4440996,0.3209167,0.2897851,0.2809601,0.3073789,0.0,30.51661,0.0,0.0,0.0,-0.006500594
26,27012001.0,22.39545,1124.064,0.0,0.0,0.1132942,2.655263,0.0,0.0001561133,0.0,-0.04803653,-0.003007812,0.0003813402,0.0004438141,33.73232,0.03120837,0.06571636,0.05817363,0.05043934,0.04512507,0.03212309,0.02263487,0.05159757,0.03750933,0.02798055,0.02282654,0.01875558,0.011763,0.003849853,0.0,0.05811039,3.739074,4.555189,3.571181,2.611058,1.681463,0.8744876,1.197882,0.7599297,0.4502898,0.3232973,0.29138,0.2823635,0.3073943,0.0,31.85268,0.0,0.0,0.0,-0.00657135
27,28012001.0,22.39877,1124.019,0.0,0.0,0.1144127,2.685035,0.0,0.0001565346,0.0,-0.04905457,-0.003120144,0.0003956442,0.0004466727,33.75762,0.02985178,0.06496178,0.05792536,0.05045461,0.0452641,0.0323264,0.02273556,0.05201988,0.03773256,0.02806849,0.02290545,0.01886496,0.01192255,0.003919524,0.0,0.0534102,3.744864,4.599149,3.608853,2.664385,1.703592,0.8860347,1.216975,0.7735415,0.4563679,0.325666,0.2930606,0.283631,0.3074068,0.0,33.18006,0.0,0.0,0.0,-0.006647373
28,29012001.0,22.39965,1123.973,0.0,0.0,0.1151564,2.717369,0.0,0.0001566698,0.0,-0.05009244,-0.003194819,0.0004085484,0.0004509025,33.794,0.0281939,0.0627187,0.0565857,0.04970663,0.04483336,0.03217783,0.02266482,0.05237438,0.03794748,0.02815568,0.02297745,0.01896448,0.01207305,0.003986136,0.0,0.04707276,3.789132,4.657638,3.655595,2.720888,1.726144,0.8996785,1.235762,0.7866098,0.4623301,0.3280007,0.294687,0.2849038,0.3074229,0.0,34.34774,0.0,0.0,0.0,-0.00675464
29,30012001.0,22.39601,1123.926,0.0,0.0,0.115336,2.755008,0.0,0.0001566727,0.0,-0.05113971,-0.003210147,0.0004210655,0.0004566514,33.85034,0.02772296,0.06126394,0.05542831,0.04892243,0.04428321,0.03183684,0.02245584,0.05262221,0.03814366,0.02824148,0.02304349,0.01905539,0.01221492,0.004049983,0.0,0.03790809,3.934787,4.729354,3.709622,2.780359,1.749778,0.9164797,1.254453,0.7991579,0.4681764,0.3303025,0.296289,0.2861715,0.3074383,0.0,34.47063,0.0,0.0,0.0,-0.006855743
