,DATE,EVAPN,RUNOFF,SEDIMENT,TTL_SWC,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,WTR_14,WTR_15,WTR_16,WTR_17,WTR_18,WTR_19,WTR_20,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,ICE_14,ICE_15,ICE_16,ICE_17,ICE_18,ICE_19,ICE_20,SURF_ICE,ACTV_LYR,WTR_TBL
974,2003-09-02,-0.003322679041666667,0.0,0.0405972,953.1327166666666,-0.02287618625,0.0,0.11127275583333333,0.17662274166666667,0.1772697708333333,0.17728349583333333,0.17712121666666666,0.15623695,0.15410377916666665,0.2619906875,0.2853567625,0.3340322416666666,0.36163873333333335,0.3846886,0.41072505416666666,0.4613714791666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8505972916666665e-15,1.9608205416666667e-15,1.9726507916666667e-15,1.960173e-15,9.741229e-16,9.376601916666668e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.379116041666667
975,2003-09-03,-0.0045254522250000005,0.0,0.0405972,951.2054458333333,0.0,0.0,0.10971211291666666,0.1757782,0.17634809583333333,0.17635454583333332,0.17620275833333332,0.15600443333333333,0.15351807083333333,0.26044262916666666,0.28385265833333334,0.33324434166666667,0.3611629541666667,0.38436919166666667,0.4093020166666667,0.46219448333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850700291666667e-15,1.96081225e-15,1.9726381666666666e-15,1.960173e-15,9.741229e-16,9.376601916666668e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.391318791666667
976,2003-09-04,-0.0045412851666666665,0.0,0.0405972,949.5218916666666,-0.026792542083333332,0.0,0.10959733208333333,0.17563912083333333,0.1759888875,0.176001725,0.17597785416666667,0.1558,0.1530291375,0.25894585416666666,0.28237604583333337,0.3324537416666667,0.36074140833333335,0.3841543375,0.4156144875,0.45533312499999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8507880833333335e-15,1.960806833333333e-15,1.9726252916666666e-15,1.960173e-15,9.741229e-16,9.376602e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.334936041666667
977,2003-09-05,-0.002894700666666667,0.0,0.0405972,948.3452375,-0.034635939166666664,0.0,0.10810602375,0.17525363333333333,0.17559520833333334,0.1756071375,0.17557660416666665,0.1555680375,0.1525619625,0.25746258333333333,0.2808893333333333,0.3316051208333333,0.3603913875,0.38414254166666667,0.41508290000000003,0.4565265708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8508730833333332e-15,1.9608015416666666e-15,1.9726126666666665e-15,1.960173e-15,9.741229e-16,9.376602e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.339973375
978,2003-09-06,-0.0038459392583333335,0.0,0.0405972,947.1376,-0.033410540833333335,0.0,0.10727995333333333,0.17482894583333333,0.17516214583333334,0.17517442916666667,0.1751483,0.15529497083333335,0.15209794166666665,0.2559809375,0.27936806666666664,0.33076685,0.36004033750000003,0.38398825,0.4122353375,0.4601264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8509615833333334e-15,1.96079525e-15,1.9726e-15,1.960173e-15,9.741229e-16,9.376602041666668e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.365870166666667
979,2003-09-07,-0.002781212620833334,0.0,0.0405972,945.6640916666666,-0.0046843179166666665,0.0,0.10614315416666666,0.174700175,0.17493497916666667,0.17495351666666667,0.1749779,0.1550496875,0.1516873,0.25453139166666666,0.2778591125,0.3299379416666667,0.35969385,0.38372378749999997,0.41027237499999997,0.46211312083333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8510489999999998e-15,1.960789458333333e-15,1.9725873333333334e-15,1.960173e-15,9.741229e-16,9.376602e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.3833605833333333
980,2003-09-08,-0.0019418994708333334,0.0,0.0405972,943.8272791666667,0.0,0.0,0.10721262875,0.17478151249999999,0.17493778333333332,0.17496357083333333,0.1750357958333333,0.15487723333333334,0.15138265833333334,0.25315598333333333,0.27638859583333336,0.3291228333333333,0.35932284583333335,0.38341855,0.40888812916666667,0.4623743833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8511301666666668e-15,1.9607845e-15,1.972575125e-15,1.960173e-15,9.741229e-16,9.376601833333334e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.394832625
981,2003-09-09,-0.04280471116666667,0.0,0.0405972,957.2525666666667,-0.021202986416666667,0.0,0.4617377375,0.40086191666666665,0.17757747083333333,0.1768103666666667,0.17762913333333333,0.15513745833333334,0.15693239583333332,0.25235741666666667,0.27543309583333336,0.3286282166666667,0.35907045833333334,0.38340928333333335,0.41735238750000003,0.4537803958333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0068717925e-05,1.8512164166666667e-15,1.9607789166666667e-15,1.9725626666666664e-15,1.960173e-15,9.741229e-16,9.376601916666668e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.127039291288317
982,2003-09-10,-0.05365457416666666,0.0,0.0405972,966.11235,-0.02567072475,0.0,0.49810276666666664,0.5056563583333333,0.23345862083333335,0.18139535833333334,0.18300927916666665,0.15608420416666666,0.160816475,0.25244201666666666,0.2753854958333333,0.3287078583333333,0.3594141791666667,0.3840532625,0.41446690416666665,0.4573864541666666,0.0,0.0,0.0,0.0,0.0,0.0,5.32789875e-07,1.8513260833333333e-15,1.960767583333333e-15,1.9725500833333334e-15,1.960173e-15,9.741229e-16,9.376602041666668e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.345630125
983,2003-09-11,-0.028356636666666667,0.0,0.0405972,992.0504041666667,-0.02342670416666667,0.0,0.4697254625,0.4748714708333333,0.49032811666666665,0.4389202291666667,0.1908077,0.1570948875,0.16224969583333335,0.25256001666666666,0.27538202083333335,0.32886957499999997,0.3599801541666667,0.38448027916666666,0.4118547041666667,0.4607738041666667,0.0,0.0,0.0,0.0,0.0,0.0,7.165720833333334e-07,1.8514705833333333e-15,1.9607482916666667e-15,1.9725374166666666e-15,1.960173e-15,9.741229e-16,9.376601958333334e-16,1.852673e-15,1.784594e-25,8.187895e-30,2.184041e-34,5.485888999999999e-39,6.305843e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9998.999,-2.3694722083333333
