,DATE,RADN,TMAX_AIR,TMIN_AIR,HMAX_AIR,HMIN_AIR,WIND,PRECN,TMAX_SOIL_1,TMIN_SOIL_1,TMAX_SOIL_2,TMIN_SOIL_2,TMAX_SOIL_3,TMIN_SOIL_3,TMAX_SOIL_4,TMIN_SOIL_4,TMAX_SOIL_5,TMIN_SOIL_5,TMAX_SOIL_6,TMIN_SOIL_6,TMAX_SOIL_7,TMIN_SOIL_7,TMAX_SOIL_8,TMIN_SOIL_8,TMAX_SOIL_9,TMIN_SOIL_9,TMAX_SOIL_10,TMIN_SOIL_10,TMAX_SOIL_11,TMIN_SOIL_11,TMAX_SOIL_12,TMIN_SOIL_12,TMAX_SOIL_13,TMIN_SOIL_13,TMAX_SOIL_14,TMIN_SOIL_14,TMAX_LITTER,TMIN_LITTER,ECND_1,ECND_2,ECND_3,ECND_4,ECND_5,ECND_6,ECND_7,ECND_8,ECND_9,ECND_10,ECND_11,ECND_12,TTL_SALT_DISCHG
20,21012001.0,10.34449,-1.460454,-14.52479,0.485119,0.1790784,316.9955,0.0,0.6799927,-0.7650757,0.9787292,0.2015381,1.373993,0.911377,2.013062,1.634766,2.49173,2.175476,3.0672,2.809479,3.702545,3.455383,4.724426,4.478943,6.21347,6.02243,7.61676,7.484192,8.529694,8.425232,9.206421,9.123535,9.667908,9.60672,9.880524,9.833313,0.7976074,-2.621307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22012001.0,9.291799,11.31732,-9.983374,0.9437403,0.2560749,315.1385,0.0,2.744873,-1.389282,2.071503,-0.1509705,1.972717,0.5715027,2.16272,1.310516,2.415649,1.852203,2.809662,2.504791,3.453583,3.190613,4.476807,4.246918,6.020386,5.826263,7.482697,7.342957,8.424103,8.315338,9.12265,9.037903,9.606049,9.543457,9.832764,9.783112,3.368073,-3.657745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23012001.0,10.6688,5.206212,-8.02396,0.7374179,0.2976725,316.0434,0.0,5.140839,-1.344025,3.470825,-0.1429443,2.842834,0.5997009,2.679688,1.342133,2.744171,1.885406,2.97113,2.519592,3.396606,3.154358,4.246094,4.1427,5.82428,5.653717,7.341461,7.198792,8.314178,8.203033,9.037018,8.951233,9.542816,9.478485,9.782593,9.730652,6.117279,-3.96582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24012001.0,10.03106,-3.682677,-11.25914,0.4122783,0.2318878,313.7822,1.27,1.717438,-2.711884,1.198975,-0.3565369,1.309814,0.412384,2.015198,1.192749,2.466003,1.749237,2.947083,2.407135,3.397766,3.049835,4.157257,4.023224,5.652161,5.516388,7.197327,7.060577,8.201874,8.089844,8.950317,8.863037,9.477783,9.411713,9.730072,9.676086,3.798309,-7.019775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25012001.0,10.24642,1.317323,-15.00839,0.5923261,0.1722586,306.7605,3.81,-0.3635864,-2.581085,-0.07775879,-0.353302,0.4511414,0.3700256,1.180573,1.038239,1.738922,1.505249,2.400269,2.089203,3.045807,2.745056,4.021301,3.788696,5.514862,5.357147,7.059143,6.925995,8.088684,7.977478,8.862122,8.773224,9.411011,9.342804,9.675507,9.619293,-0.6543579,-6.986603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26012001.0,8.399737,-2.571566,-13.53536,0.4473677,0.1937963,307.2665,0.0,-0.4250183,-0.6217041,-0.08169556,-0.1129456,0.4466553,0.4118958,1.037506,0.974884,1.504395,1.419006,2.087982,1.973877,2.743378,2.600006,3.786469,3.603699,5.355347,5.187103,6.924591,6.789307,7.976288,7.864838,8.772278,8.682281,9.342072,9.272156,9.618683,9.560669,-0.8631287,-1.666595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27012001.0,10.56867,-0.349343,-15.01673,0.5257087,0.1721431,315.7996,0.254,-0.2663879,-0.7393494,0.09918213,-0.1304626,0.5129395,0.3799438,0.9968567,0.9348755,1.418152,1.363647,1.972809,1.891144,2.598694,2.488129,3.602051,3.456848,5.185364,5.028076,6.787872,6.651917,7.863678,7.75116,8.681305,8.590515,9.271393,9.199432,9.560028,9.499908,-0.5254517,-1.982758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28012001.0,10.57361,-0.349343,-12.52924,0.5257087,0.2098749,315.3141,3.429,0.09588623,-0.5973206,0.4067688,-0.02319336,0.7460022,0.4539795,1.143829,0.9699402,1.481628,1.376251,1.919495,1.880402,2.487701,2.449829,3.455536,3.354858,5.026489,4.886475,6.650482,6.516968,7.749969,7.637512,8.589539,8.498047,9.198669,9.125122,9.499237,9.437531,-0.3803406,-1.711426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29012001.0,3.348194,-0.904899,-3.833143,0.5050469,0.4077224,317.0462,8.128,0.6037292,-0.06948853,0.9073486,0.3936157,1.179108,0.7480469,1.496277,1.147552,1.765259,1.484772,2.115021,1.921204,2.562592,2.458008,3.354126,3.328552,4.885101,4.773041,6.515625,6.388916,7.636322,7.524689,8.497101,8.40448,9.124329,9.049408,9.436859,9.373016,0.02676392,-0.8901672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30012001.0,3.12278,-0.904899,-3.868629,0.5050469,0.4066543,319.5124,0.381,0.845459,0.5990295,1.140961,0.9091492,1.409393,1.181976,1.713287,1.499359,1.96402,1.768127,2.285858,2.117432,2.686798,2.56424,3.370514,3.331421,4.772064,4.699554,6.387604,6.272705,7.523529,7.415009,8.403503,8.310852,9.048615,8.972046,9.372345,9.307007,0.2272644,0.02783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31012001.0,6.721342,1.872879,-7.829183,0.6161601,0.2935334,320.5906,0.0,1.124634,0.8464661,1.376312,1.141968,1.615753,1.410858,1.892181,1.714966,2.122498,1.965668,2.418976,2.287445,2.788971,2.688019,3.41983,3.371033,4.698975,4.65625,6.271515,6.171936,7.413879,7.310791,8.309814,8.217804,8.971222,8.893707,9.306335,9.239166,0.4031372,0.1194153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1022001.0,11.11586,-3.682677,-16.79636,0.4122783,0.1457599,327.6288,0.0,1.131989,0.8018799,1.386658,1.194977,1.631866,1.518005,1.915436,1.855072,2.150238,2.119141,2.456665,2.420502,2.833862,2.7901,3.458649,3.420349,4.655884,4.630066,6.17099,6.086823,7.309753,7.214081,8.216797,8.126434,8.892883,8.814667,9.238495,9.169861,0.406311,-0.0871582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2022001.0,12.43035,-3.127121,-23.4881,0.4295012,0.08509428,322.0728,0.0,0.7932739,0.3932495,1.187653,0.8630066,1.522552,1.261414,1.865173,1.671082,2.128235,1.982391,2.455353,2.357178,2.834717,2.770447,3.461884,3.439667,4.629822,4.602051,6.085999,6.01297,7.213135,7.124878,8.125488,8.037415,8.813843,8.734344,9.169128,9.099426,0.1165771,-0.5388794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3022001.0,12.65014,6.317323,-21.45085,0.7820684,0.1012434,316.5528,0.0,0.9623718,0.2729187,1.200684,0.7443237,1.446045,1.150116,1.739227,1.57135,2.009369,1.893585,2.361725,2.276459,2.770386,2.702209,3.43924,3.38736,4.601654,4.55957,6.012238,5.945221,7.123993,7.042267,8.036499,7.951416,8.733551,8.655212,9.098724,9.028015,0.3476868,-0.6054993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
