,DATE,PRECN,ET,RUNOFF,WATER,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,SURF_ICE,PSI_1,PSI_2,PSI_3,PSI_4,PSI_5,PSI_6,PSI_7,PSI_8,PSI_9,PSI_10,TILE_DRG,SEDIMENT,PSI_SURF,SURF_ELEV,ACTV_LYR,WTR_TBL
21,22012001.0,11.43,5.026982,0.0,1026.914,-40.45105,38.97953,0.2559419,0.2639252,0.2767831,0.2845427,0.2886956,0.2605101,0.297924,0.3566433,0.3457897,0.3525006,0.3602046,0.3712492,0.4392622,0.0,0.004697852,9.458812e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1183609,-0.09785287,-0.06781125,-0.05480035,-0.04903638,-0.04024248,-0.01318973,-0.03333749,-0.03318853,-0.03220761,0.0,0.0,-0.1490901,0.01563632,-9999.016,-2.400001
22,23012001.0,11.43,5.037699,0.0,1027.375,-40.92192,23.57974,0.2722679,0.2701566,0.2760766,0.2843998,0.2901514,0.264612,0.2941409,0.3608142,0.3460374,0.3525432,0.3604591,0.3718347,0.439263,0.0,0.01781934,9.989878e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07181248,-0.08185535,-0.06919515,-0.05503977,-0.04719819,-0.03569421,-0.01469909,-0.0262767,-0.03294808,-0.03214139,0.0,0.0,-0.07511376,0.01554303,-9999.016,-2.400002
23,24012001.0,12.7,5.341532,0.0,1028.792,-41.37263,41.78822,0.1754349,0.2558967,0.2756271,0.285202,0.291908,0.2665147,0.2819172,0.3622615,0.346534,0.3526066,0.3607207,0.3724263,0.4392625,0.0,0.09288319,0.006659118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.082777,-0.1217371,-0.07001308,-0.05385954,-0.04504127,-0.03375869,-0.02107051,-0.02405004,-0.03217237,-0.03204312,0.0,0.0,-5.887618,0.01563193,-9999.016,-2.400003
24,25012001.0,16.51,5.30162,0.0,1033.066,-41.79693,93.75862,0.2072731,0.2459453,0.2743197,0.2855904,0.2926619,0.2666758,0.2770037,0.362071,0.3470025,0.3526949,0.3609909,0.3730514,0.4392664,0.0,0.05245313,0.01231681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6279749,-0.1687307,-0.07264576,-0.05328902,-0.04414422,-0.03359323,-0.02444713,-0.02431418,-0.03145608,-0.03190646,0.0,0.0,-1.220165,0.0155744,-9999.016,-2.4
25,26012001.0,16.51,5.266129,0.0,1033.557,-42.2516,90.16464,0.2043022,0.2488243,0.273146,0.2854514,0.2926652,0.266186,0.273999,0.3613802,0.3474356,0.3528134,0.3612703,0.3736667,0.4392694,0.0,0.04106017,0.004663934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6972851,-0.1538952,-0.07507917,-0.05348236,-0.04413311,-0.03406536,-0.02680235,-0.02533448,-0.0308098,-0.03172421,0.0,0.0,-1.488153,0.01552136,-9999.016,-2.4
26,27012001.0,16.764,5.278443,0.0,1034.166,-42.61914,85.18494,0.2100441,0.2483241,0.2726162,0.2850822,0.2922565,0.2655393,0.2735013,0.3607187,0.3477796,0.3529553,0.3615674,0.3743508,0.4392719,0.0,0.02387588,8.871115e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.564295,-0.156154,-0.07621136,-0.05401612,-0.04460831,-0.03470674,-0.02720922,-0.02636378,-0.03030491,-0.03150674,0.0,0.0,-1.183469,0.01546608,-9999.016,-2.4
27,28012001.0,20.193,5.27565,0.0,1037.948,-42.96884,104.4281,0.2137614,0.2450926,0.2724243,0.2846434,0.2917362,0.2649256,0.2730357,0.3602731,0.3480241,0.353109,0.3619075,0.375187,0.4392706,0.0,2.108684e-09,9.176283e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4921824,-0.1728069,-0.0766433,-0.05466171,-0.0452239,-0.03532636,-0.02759846,-0.02708107,-0.02995146,-0.03127307,0.0,0.0,-0.9320823,0.01540834,-9999.016,-2.4
28,29012001.0,28.321,5.096739,0.0,1047.026,-43.7401,157.0418,0.2224474,0.2429157,0.2722854,0.2843248,0.2912346,0.2641518,0.2707231,0.3598168,0.3481978,0.3532691,0.3622617,0.3759733,0.439274,0.0,9.453372e-16,9.175966e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.368015,-0.1852253,-0.07692915,-0.05513478,-0.04582665,-0.03612347,-0.02964509,-0.027831,-0.02970285,-0.03103145,0.0,0.0,-0.3923694,0.01534441,-9999.016,-2.4
29,30012001.0,28.70201,4.917855,0.0,1048.628,-44.78176,152.7726,0.2422454,0.245709,0.2722321,0.2839479,0.2906433,0.2632305,0.2691563,0.3593129,0.3482883,0.3534336,0.3626259,0.3767518,0.439277,0.0,9.454716e-16,9.17565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1902769,-0.1699138,-0.07706144,-0.05570102,-0.04654833,-0.03710191,-0.03112725,-0.02868828,-0.02957342,-0.03078518,0.0,0.0,-0.1770772,0.01528296,-9999.016,-2.4
30,31012001.0,28.70201,4.796815,0.0,1049.797,-45.82925,143.1573,0.2566845,0.2528054,0.2720162,0.2835057,0.2896635,0.2622817,0.2680775,0.3588486,0.3483165,0.3535981,0.3629973,0.377499,0.4392783,0.0,9.456078e-16,9.175333e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1216431,-0.136662,-0.07750852,-0.05636934,-0.04776106,-0.03814295,-0.03219852,-0.02950287,-0.02953299,-0.03054097,0.0,0.0,-0.1113332,0.01521166,-9999.016,-2.398033
